505	524	515	723
506	524	515	723
507	524	516	724
508	523	516	724
509	524	516	724
510	524	516	724
511	524	517	723
512	523	517	723
513	524	516	723
514	524	516	724
515	523	515	723
516	523	515	724
517	524	516	724
518	523	516	724
